Council,Region,Cadence/Notes,Schedule URL
Borough of Queenscliffe,Barwon South West,Council meeting dates page,https://www.queenscliffe.vic.gov.au/council/meetings/council-meetings
City of Greater Geelong,Barwon South West,Council & Delegated Committee meetings,https://www.geelongaustralia.com.au/meetings/
Colac Otway Shire,Barwon South West,Council meeting schedule,https://www.colacotway.vic.gov.au/Council-the-shire/Council-meetings/Council-meetings-and-committees
Corangamite Shire,Barwon South West,Council meetings calendar,https://www.corangamite.vic.gov.au/Council/Council-meetings
Glenelg Shire,Barwon South West,Council meetings dates,https://www.glenelg.vic.gov.au/Council/Council-meetings/Council-meeting-dates
Southern Grampians Shire,Barwon South West,Council meetings,https://www.sthgrampians.vic.gov.au/Page/Page.asp?Page_Id=1080
Surf Coast Shire,Barwon South West,Council meetings diary,https://www.surfcoast.vic.gov.au/About-us/Council/Council-meetings-agendas-minutes
Warrnambool City Council,Barwon South West,Council meeting schedule,https://www.warrnambool.vic.gov.au/council/council-meetings
Ararat Rural City,Grampians,Council meeting dates,https://www.ararat.vic.gov.au/council/meetings-agendas-and-minutes
Hepburn Shire,Grampians,Council meeting schedule,https://www.hepburn.vic.gov.au/council/council-meetings
Hindmarsh Shire,Grampians,Council meetings,https://www.hindmarsh.vic.gov.au/council-meetings
Horsham Rural City,Grampians,Council meeting schedule,https://www.hrcc.vic.gov.au/Our-Council/Council-Meetings
Northern Grampians Shire,Grampians,Council meeting dates,https://www.ngshire.vic.gov.au/Council/Your-Council/Council-Meetings
Pyrenees Shire,Grampians,Council meeting schedule,https://www.pyrenees.vic.gov.au/Council/Council-meetings
West Wimmera Shire,Grampians,Council meeting schedule,https://www.westwimmera.vic.gov.au/Council/Your-Council/Council-Meetings/Council-Meetings
Yarriambiack Shire,Grampians,Council meeting dates,https://www.yarriambiack.vic.gov.au/council/council-meetings
Buloke Shire,Loddon Mallee,Council meetings,https://www.buloke.vic.gov.au/council-meetings
Campaspe Shire,Loddon Mallee,Council meeting schedule,https://www.campaspe.vic.gov.au/council-meetings
Central Goldfields Shire,Loddon Mallee,Council meetings calendar,https://www.centralgoldfields.vic.gov.au/Our-Council/Meetings-and-Agendas/Council-Meetings
City of Greater Bendigo,Loddon Mallee,Council meeting schedule,https://www.bendigo.vic.gov.au/About/Meetings/Council-meetings
Gannawarra Shire,Loddon Mallee,Council meetings,https://www.gsc.vic.gov.au/council/meetings
Loddon Shire,Loddon Mallee,Council meetings,https://www.loddon.vic.gov.au/Our-Council/Council-meetings
Macedon Ranges Shire,Loddon Mallee,Council meeting calendar,https://www.mrsc.vic.gov.au/About-Council/Our-council/Council-meetings
Mildura Rural City,Loddon Mallee,Council meeting dates,https://www.mildura.vic.gov.au/Council/Council-Meetings/Council-Meeting-Dates
Mount Alexander Shire,Loddon Mallee,Council meetings,https://www.mountalexander.vic.gov.au/Council_Meetings
Swan Hill Rural City,Loddon Mallee,Council meeting schedule,https://www.swanhill.vic.gov.au/Your-Council/Council-meetings
Alpine Shire,Hume,Council meetings,https://www.alpineshire.vic.gov.au/council/meetings
Benalla Rural City,Hume,Council meeting dates,https://www.benalla.vic.gov.au/Your-Council/Council-Meetings
Greater Shepparton City,Hume,Council meeting schedule,https://www.greatershepparton.com.au/council/meeting-agendas-and-minutes
Indigo Shire,Hume,Council meetings,https://www.indigoshire.vic.gov.au/Council/Council-meetings
Mansfield Shire,Hume,Council meetings schedule,https://www.mansfield.vic.gov.au/Council/Council-meetings
Mitchell Shire,Hume,Council meetings calendar,https://www.mitchellshire.vic.gov.au/council/council-meetings
Moira Shire,Hume,Council meeting schedule,https://www.moira.vic.gov.au/Our-Council/Council-meetings
Murrindindi Shire,Hume,Council meetings,https://www.murrindindi.vic.gov.au/Council/Council-meetings
Strathbogie Shire,Hume,Council meetings,https://www.strathbogie.vic.gov.au/council/meetings
Towong Shire,Hume,Council meetings,https://www.towong.vic.gov.au/council-meetings
Wodonga City,Hume,Council meetings,https://www.wodonga.vic.gov.au/Your-Council/Council-meetings
Wangaratta Rural City,Hume,Council meetings,https://www.wangaratta.vic.gov.au/Your-Council/Council-meetings
Bass Coast Shire,Gippsland,Council meeting timetable,https://www.basscoast.vic.gov.au/our-council/council-meetings
Baw Baw Shire,Gippsland,Council meetings schedule,https://www.bawbawshire.vic.gov.au/Council/Our-Council/Council-meetings
East Gippsland Shire,Gippsland,Council meeting schedule,https://www.eastgippsland.vic.gov.au/our-council/council-meetings
Latrobe City,Gippsland,Council meetings,https://www.latrobe.vic.gov.au/Council/Council_meetings
South Gippsland Shire,Gippsland,Council meeting dates,https://www.southgippsland.vic.gov.au/council-meetings
Wellington Shire,Gippsland,Council meetings timetable,https://www.wellington.vic.gov.au/council/council-meetings
Ballarat City,Central Highlands,Council meetings calendar,https://www.ballarat.vic.gov.au/city-and-council/council-meetings
Moorabool Shire,Central Highlands,Council meetings,https://www.moorabool.vic.gov.au/Council/Council-meetings
Golden Plains Shire,Central Highlands,Council meeting schedule,https://www.goldenplains.vic.gov.au/residents/my-council/council-meetings
Mount Alexander Shire,Central Highlands,Council meetings,https://www.mountalexander.vic.gov.au/Council_Meetings
Rural City of Wangaratta,Ovens Murray,Council meetings,https://www.wangaratta.vic.gov.au/Your-Council/Council-meetings
Horsham Rural City (duplicate region entry for ease),Wimmera Southern Mallee,Council meeting schedule,https://www.hrcc.vic.gov.au/Our-Council/Council-Meetings
