Council,Region,Cadence/Notes,Schedule URL
City of Melbourne,Metropolitan,Council & Future Melbourne Committee; see page,https://www.melbourne.vic.gov.au/council-meetings
City of Port Phillip,Metropolitan,2025 timetable published,https://www.portphillip.vic.gov.au/about-the-council/council-meetings/timetable-council-meetings
Hobsons Bay City Council,Metropolitan,2025 timetable with specific dates,https://www.hobsonsbay.vic.gov.au/Council/Council-meetings/Council-meeting-timetable
Maribyrnong City Council,Metropolitan,2025 schedule of Council & Delegated Committee,https://www.maribyrnong.vic.gov.au/About/Council-and-committee-meetings/2025-Schedule-of-Meeting-Dates
Moonee Valley City Council,Metropolitan,2025 meeting list on page,https://mvcc.vic.gov.au/my-council/council-meetings/
Brimbank City Council,Metropolitan,Agendas & minutes list 2025,https://www.brimbank.vic.gov.au/agendas-and-minutes
Melton City Council,Metropolitan,Adopted Council Meeting Schedule 2025 (7pm),https://www.melton.vic.gov.au/Council/Publications/Public-notices/Council-Meeting-Schedule-2025-Melton-City-Council
Hume City Council,Metropolitan,Two ordinary meetings per month; see dates,https://www.hume.vic.gov.au/Your-Council/Council-Meetings/Council-Meeting-Dates
Merri-bek City Council,Metropolitan,Next Council Meeting page lists upcoming date/time,https://www.merri-bek.vic.gov.au/my-council/council-and-committee-meetings/council-meetings/nextcouncilmeetingagenda/
Darebin City Council,Metropolitan,2025 Council Meeting dates listed,https://www.darebin.vic.gov.au/About-council/Council-structure-and-performance/Council-and-Committee-Meetings/Council-meetings
Banyule City Council,Metropolitan,Annual schedule with dates; meetings ~every 3 weeks Mon 7pm,https://www.banyule.vic.gov.au/About-us/Councillors-and-Council-meetings/Council-meetings/Council-meeting-annual-schedule
Nillumbik Shire Council,Metropolitan,Generally 4th Tuesday 7pm; 2025 schedule,https://www.nillumbik.vic.gov.au/Council/Council-and-PCC-meetings/Council-meetings/Meeting-schedule
Manningham City Council,Metropolitan,Upcoming dates listed; see page,https://www.manningham.vic.gov.au/about-council/how-council-works/council-meetings
City of Boroondara,Metropolitan,Public notice: Meeting schedule 2025,https://www.boroondara.vic.gov.au/your-council/news-and-media/public-notices/public-notice-boroondara-city-council-meeting-schedule-2025
City of Monash,Metropolitan,"Last Tuesday monthly (except Dec), 7pm",https://www.monash.vic.gov.au/About-Us/Council/Council-Meetings/Council-Meetings-Schedule
Whitehorse City Council,Metropolitan,2025 meeting dates listed; 7pm,https://www.whitehorse.vic.gov.au/about-council/council-meetings/council-meeting-dates
Knox City Council,Metropolitan,2025 meeting dates; meetings start 7pm,https://www.knox.vic.gov.au/our-council/councillors-and-meetings/council-meetings/council-meetings
Maroondah City Council,Metropolitan,Generally 3rd Monday monthly 7:30pm,https://www.maroondah.vic.gov.au/About-Council/Council-meetings/Council-meeting-schedule
Glen Eira City Council,Metropolitan,Meeting dates on page; meetings start 7:30pm unless noted,https://www.gleneira.vic.gov.au/about-council/meetings-and-agendas/council-meeting-information
Bayside City Council,Metropolitan,"Agendas, minutes & webcast; see page for dates",https://www.bayside.vic.gov.au/council/council-meetings
City of Kingston,Metropolitan,Ordinary meetings usually 4th Monday 7pm; live streamed,https://www.kingston.vic.gov.au/council/your-council/council-meetings
Frankston City Council,Metropolitan,2025 meeting dates PDF; live streamed; Mon 7pm typical,https://www.frankston.vic.gov.au/Council/Council-and-committee-meetings/Upcoming-Council-Meeting-Agendas-2025
Mornington Peninsula Shire,Metropolitan,Full 2025 timetable (locations vary) 6:30pm typical,https://www.mornpen.vic.gov.au/About-Us/About-Our-Council/Council-Meetings/Meeting-Dates-2025
Greater Dandenong City Council,Metropolitan,2nd & 4th Monday 7pm; 2025 dates PDF,https://www.greaterdandenong.vic.gov.au/council-meetings
City of Casey,Metropolitan,"3rd Tuesday monthly, 6pm",https://www.casey.vic.gov.au/council-meeting-schedule-upcoming-council-business
Cardinia Shire Council,Metropolitan,Council meetings typically Mondays 7pm; see dates list,https://www.cardinia.vic.gov.au/meetings/committee/1/council_meeting
Yarra Ranges Council,Metropolitan,Council meeting schedule for 2025,https://www.yarraranges.vic.gov.au/Our-Council/Council-meetings/Council-meeting-schedule
City of Whittlesea,Metropolitan,Regular meetings; see dates & procedures,https://www.whittlesea.vic.gov.au/About-us/Council/Council-meetings/Meeting-dates-and-procedures
Yarra City Council,Metropolitan,Council meetings page with agendas & minutes,https://www.yarracity.vic.gov.au/about-us/council-and-committee-meetings/council-meetings
City of Stonnington,Metropolitan,Council meetings page; livestream details,https://www.stonnington.vic.gov.au/About/About-Council/Council-meetings
Wyndham City Council,Metropolitan,Council/Planning/Contracts meetings; commence 6pm,https://www.wyndham.vic.gov.au/about-council/your-council/council-and-committee-meetings/council-planning-committee-contracts
